architecture        ;char            ;short  ;int   ;long  ;long long  ;size_t               ;endianness
aarch64          ;8(unsigned)     ;16     ;32    ;64    ;64         ;unsigned long        ;little
aarch64eb        ;8(unsigned)     ;16     ;32    ;64    ;64         ;unsigned long        ;big
apple_ppc_32     ;8(signed)       ;16     ;32    ;32    ;64         ;unsigned int         ;big
arm_eabi         ;8(unsigned)     ;16     ;32    ;32    ;64         ;unsigned int         ;little
armeb_eabi       ;8(unsigned)     ;16     ;32    ;32    ;64         ;unsigned int         ;big
gcc_aarch64      ;8(unsigned)     ;16     ;32    ;64    ;64         ;unsigned long        ;little
gcc_aarch64eb    ;8(unsigned)     ;16     ;32    ;64    ;64         ;unsigned long        ;big
gcc_arm_eabi     ;8(unsigned)     ;16     ;32    ;32    ;64         ;unsigned int         ;little
gcc_armeb_eabi   ;8(unsigned)     ;16     ;32    ;32    ;64         ;unsigned int         ;big
gcc_mips_64      ;8(signed)       ;16     ;32    ;64    ;64         ;unsigned long        ;big
gcc_mips_n32     ;8(signed)       ;16     ;32    ;32    ;64         ;unsigned int         ;big
gcc_mips_o32     ;8(signed)       ;16     ;32    ;32    ;64         ;unsigned int         ;big
gcc_mipsel_64    ;8(signed)       ;16     ;32    ;64    ;64         ;unsigned long        ;little
gcc_mipsel_n32   ;8(signed)       ;16     ;32    ;32    ;64         ;unsigned int         ;little
gcc_mipsel_o32   ;8(signed)       ;16     ;32    ;32    ;64         ;unsigned int         ;little
gcc_ppc_32       ;8(unsigned)     ;16     ;32    ;32    ;64         ;unsigned int         ;big
gcc_ppc_64       ;8(unsigned)     ;16     ;32    ;64    ;64         ;unsigned long        ;big
gcc_rv32ifdq     ;8(signed)       ;16     ;32    ;32    ;64         ;unsigned int         ;little
gcc_rv64ifdq     ;8(signed)       ;16     ;32    ;64    ;64         ;unsigned long        ;little
gcc_sparc_32     ;8(signed)       ;16     ;32    ;32    ;64         ;unsigned int         ;big
gcc_sparc_64     ;8(signed)       ;16     ;32    ;64    ;64         ;unsigned long        ;big
gcc_x86_16       ;8(signed)       ;16     ;16    ;32    ;64         ;unsigned int         ;little
gcc_x86_16_huge  ;8(signed)       ;16     ;16    ;32    ;64         ;unsigned int         ;little
gcc_x86_32       ;8(signed)       ;16     ;32    ;32    ;64         ;unsigned int         ;little
gcc_x86_64       ;8(signed)       ;16     ;32    ;64    ;64         ;unsigned long        ;little
mips_64          ;8(signed)       ;16     ;32    ;64    ;64         ;unsigned long        ;big
mips_n32         ;8(signed)       ;16     ;32    ;32    ;64         ;unsigned int         ;big
mips_o32         ;8(signed)       ;16     ;32    ;32    ;64         ;unsigned int         ;big
mipsel_64        ;8(signed)       ;16     ;32    ;64    ;64         ;unsigned long        ;little
mipsel_n32       ;8(signed)       ;16     ;32    ;32    ;64         ;unsigned int         ;little
mipsel_o32       ;8(signed)       ;16     ;32    ;32    ;64         ;unsigned int         ;little
ppc_32           ;8(unsigned)     ;16     ;32    ;32    ;64         ;unsigned int         ;big
ppc_64           ;8(unsigned)     ;16     ;32    ;64    ;64         ;unsigned long        ;big
rv32ifdq         ;8(signed)       ;16     ;32    ;32    ;64         ;unsigned int         ;little
rv64ifdq         ;8(signed)       ;16     ;32    ;64    ;64         ;unsigned long        ;little
sparc_32         ;8(signed)       ;16     ;32    ;32    ;64         ;unsigned int         ;big
sparc_64         ;8(signed)       ;16     ;32    ;64    ;64         ;unsigned long        ;big
x86_16           ;8(signed)       ;16     ;16    ;32    ;64         ;unsigned int         ;little
x86_16_huge      ;8(signed)       ;16     ;16    ;32    ;64         ;unsigned int         ;little
x86_32           ;8(signed)       ;16     ;32    ;32    ;64         ;unsigned int         ;little
x86_64           ;8(signed)       ;16     ;32    ;64    ;64         ;unsigned long        ;little
x86_win32        ;8(signed)       ;16     ;32    ;32    ;64         ;unsigned int         ;little
x86_win64        ;8(signed)       ;16     ;32    ;32    ;64         ;unsigned long long   ;little